date, open, high, low, closing, swap
2018/03/26,104.755,105.485,104.695,105.385,51
2018/03/27,105.475,105.915,105.325,105.34,50
2018/03/28,105.39,107.025,105.35,106.845,177
2018/03/29,106.775,106.95,106.25,106.435,70
2018/03/30,106.5,106.555,106.115,106.27,50
2018/04/02,106.385,106.465,105.65,105.895,52
2018/04/03,105.865,106.67,105.68,106.59,63
2018/04/04,106.645,106.865,105.98,106.795,199
2018/04/05,106.75,107.5,106.7,107.37,64
2018/04/06,107.41,107.475,106.76,106.855,66
2018/04/09,106.985,107.22,106.6,106.77,67
2018/04/10,106.79,107.41,106.605,107.185,60
2018/04/11,107.185,107.235,106.635,106.805,175
2018/04/12,106.83,107.435,106.69,107.34,60
2018/04/13,107.285,107.79,107.195,107.39,61
2018/04/16,107.54,107.615,107.02,107.14,58
2018/04/17,107.125,107.215,106.87,107.025,58
2018/04/18,107.03,107.4,106.995,107.235,175
2018/04/19,107.24,107.53,107.17,107.34,57
2018/04/20,107.37,107.87,107.37,107.63,62
2018/04/23,107.73,108.765,107.69,108.68,64
2018/04/24,108.73,109.205,108.535,108.83,56
2018/04/25,108.83,109.475,108.775,109.44,248
2018/04/26,109.4,109.475,109.05,109.29,64
2018/04/27,109.335,109.55,108.955,109.07,
2018/04/30,109.13,109.465,109.025,109.335,340
2018/05/01,109.285,109.9,109.225,109.87,79
2018/05/02,109.87,110.05,109.58,109.875,
2018/05/03,109.85,109.895,108.915,109.2,
2018/05/04,109.2,109.28,108.63,109.11,68
2018/05/07,109.085,109.4,108.745,109.1,64
2018/05/08,109.11,109.36,108.82,109.15,62
2018/05/09,109.085,109.835,108.99,109.74,198
2018/05/10,109.71,110.025,109.29,109.41,68
2018/05/11,109.41,109.58,109.145,109.32,68
2018/05/14,109.4,109.685,109.2,109.67,67
2018/05/15,109.705,110.465,109.65,110.385,67
2018/05/16,110.35,110.4,110.025,110.385,196
2018/05/17,110.295,110.865,110.08,110.775,67
2018/05/18,110.765,111.09,110.6,110.74,68
2018/05/21,110.87,111.405,110.81,111.045,71
2018/05/22,111.01,111.2,110.79,110.885,68
2018/05/23,110.92,110.925,109.545,110.11,258
2018/05/24,109.97,110.06,108.94,109.24,
2018/05/25,109.24,109.76,109.12,109.45,71
2018/05/28,109.755,109.76,109.235,109.4,68
2018/05/29,109.4,109.485,108.1,108.695,68
2018/05/30,108.615,109.085,108.34,108.91,182
2018/05/31,108.905,109.01,108.37,108.84,65
2018/06/01,108.78,109.75,108.72,109.595,65
2018/06/04,109.55,109.87,109.36,109.83,62
2018/06/05,109.825,110.02,109.475,109.8,63
