date, open, high, low, closing, swap
2013/03/25,94.565,94.96,93.525,94.12,5
2013/03/26,94.195,94.62,93.87,94.43,5
2013/03/27,94.535,94.91,94.02,94.46,23
2013/03/28,94.385,94.44,93.88,94.16,3
2013/03/29,94.22,94.3,93.915,94.195,
2013/04/01,94.265,94.38,93.16,93.28,1
2013/04/02,93.19,93.56,92.57,93.4,1
2013/04/03,93.38,93.69,92.72,93.035,11
2013/04/04,93.08,96.415,92.73,96.325,2
2013/04/05,96.385,97.83,95.625,97.78,2
2013/04/08,98.395,99.385,98.29,99.365,3
2013/04/09,99.455,99.66,98.59,99.025,
2013/04/10,99.165,99.88,98.91,99.785,4
2013/04/11,99.8,99.945,99.11,99.705,1
2013/04/12,99.765,99.81,98.46,98.635,1
2013/04/15,98.505,98.72,96.345,96.69,
2013/04/16,96.56,98.16,96.5,97.54,-2
2013/04/17,97.76,98.43,97.21,98.075,5
2013/04/18,98.25,98.535,97.64,98.195,2
2013/04/19,98.24,99.69,98.105,99.495,1
2013/04/22,99.825,99.895,98.975,99.235,2
2013/04/23,99.36,99.535,98.48,99.45,2
2013/04/24,99.43,99.76,99.19,99.48,9
2013/04/25,99.5,99.565,98.98,99.25,2
2013/04/26,99.33,99.415,97.555,98.11,
2013/04/29,97.77,98.205,97.35,97.755,
2013/04/30,97.895,98.13,97.005,97.415,8
2013/05/01,97.385,97.685,97.02,97.36,2
2013/05/02,97.31,98.4,97.095,97.95,
2013/05/03,97.95,99.275,97.895,99.025,
2013/05/06,99.17,99.46,99.06,99.32,1
2013/05/07,99.33,99.44,98.82,99.005,2
2013/05/08,98.965,99.16,98.58,99.005,6
2013/05/09,98.935,100.795,98.645,100.58,2
2013/05/10,100.67,101.99,100.54,101.58,2
2013/05/13,101.88,102.16,101.51,101.8,2
2013/05/14,101.775,102.405,101.26,102.32,1
2013/05/15,102.3,102.77,101.85,102.24,3
2013/05/16,102.28,102.69,101.825,102.22,1
2013/05/17,102.235,103.31,102.085,103.285,2
2013/05/20,102.765,102.93,102.17,102.3,3
2013/05/21,102.29,102.885,102.065,102.535,2
2013/05/22,102.53,103.74,102.35,103.11,10
2013/05/23,103.125,103.575,100.83,101.935,
2013/05/24,101.995,102.595,100.67,101.1,2
2013/05/27,101.16,101.305,100.745,100.955,1
2013/05/28,101.075,102.5,101.04,102.355,1
2013/05/29,102.265,102.53,100.715,101.1,7
2013/05/30,101.125,101.81,100.47,100.78,1
2013/05/31,100.79,101.28,100.22,100.45,1
2013/06/03,100.585,100.725,98.865,99.525,2
2013/06/04,99.45,100.415,99.33,100.065,2
2013/06/05,100.055,100.465,98.96,99.04,9
2013/06/06,99.175,99.47,95.86,96.97,1
2013/06/07,97.395,97.79,94.98,97.42,2
2013/06/10,97.875,99.29,97.705,98.73,3
2013/06/11,99.04,99.055,95.595,96.02,3
2013/06/12,96.15,97.02,95.14,95.975,13
2013/06/13,95.885,95.955,93.785,95.44,3
2013/06/14,95.635,95.745,93.98,94.34,3
2013/06/17,94.37,95.22,94.18,94.52,1
2013/06/18,94.675,95.77,94.44,95.355,2
2013/06/19,95.38,97.04,94.84,96.405,8
2013/06/20,96.385,98.29,96.2,97.3,2
2013/06/21,97.34,98.14,96.86,97.755,1
2013/06/24,98.13,98.7,97.22,97.73,2
2013/06/25,97.71,98.06,96.95,97.845,
2013/06/26,97.99,98.235,97.235,97.79,11
2013/06/27,97.815,98.575,97.565,98.355,
2013/06/28,98.47,99.45,98.36,99.17,
2013/07/01,99.275,99.875,99.18,99.655,3
2013/07/02,99.635,100.73,99.505,100.63,
2013/07/03,100.635,100.86,99.26,99.92,8
2013/07/04,99.99,100.17,99.49,100.03,1
2013/07/05,100.115,101.23,99.89,101.21,3
2013/07/08,101.475,101.54,100.785,100.995,3
2013/07/09,100.94,101.305,100.77,101.155,4
2013/07/10,101.085,101.22,99.37,99.595,29
2013/07/11,99.595,99.65,98.205,99,3
2013/07/12,98.99,99.7,98.67,99.35,
2013/07/15,99.23,100.49,99.08,99.85,4
2013/07/16,99.945,100.07,98.89,99.09,5
2013/07/17,99.165,99.95,99.04,99.575,12
2013/07/18,99.58,100.66,99.465,100.42,3
2013/07/19,100.51,100.87,99.8,100.355,3
2013/07/22,100.6,100.63,99.29,99.61,3
2013/07/23,99.6,100.185,99.14,99.48,3
2013/07/24,99.49,100.445,99.39,100.245,12
2013/07/25,100.255,100.46,98.88,99.315,3
2013/07/26,99.27,99.4,97.96,98.16,2
2013/07/29,98.13,98.21,97.635,97.94,2
2013/07/30,97.945,98.47,97.755,98.025,3
2013/07/31,98.015,98.575,97.58,97.91,12
2013/08/01,97.81,99.575,97.65,99.53,2
2013/08/02,99.49,99.975,98.66,98.86,2
2013/08/05,98.905,99.16,98.19,98.225,2
2013/08/06,98.295,98.59,97.515,97.74,2
2013/08/07,97.78,97.785,96.32,96.345,7
2013/08/08,96.395,96.94,95.81,96.72,1
2013/08/09,96.61,96.97,96.135,96.185,2
2013/08/12,96.29,96.945,95.93,96.9,3
2013/08/13,97.115,98.35,97.045,98.21,3
2013/08/14,98.28,98.43,97.865,98.12,12
2013/08/15,98.065,98.655,97.03,97.395,3
2013/08/16,97.25,97.775,97.045,97.55,3
2013/08/19,97.595,98.125,97.35,97.565,2
2013/08/20,97.665,97.87,96.91,97.25,1
2013/08/21,97.325,97.985,97.12,97.69,9
2013/08/22,97.68,98.815,97.66,98.695,3
2013/08/23,98.77,99.155,98.39,98.665,2
2013/08/26,98.645,98.85,98.27,98.54,2
2013/08/27,98.46,98.54,96.985,97.06,2
2013/08/28,97.05,97.845,96.82,97.63,13
2013/08/29,97.7,98.52,97.45,98.355,
2013/08/30,98.325,98.48,97.885,98.18,2
2013/09/02,98.365,99.43,98.275,99.335,1
2013/09/03,99.37,99.86,99.165,99.6,2
2013/09/04,99.595,99.82,99.32,99.72,8
2013/09/05,99.755,100.2,99.565,100.11,2
