date, open, high, low, closing, swap
2020/03/25,111.405,111.69,110.74,111.22,138
2020/03/26,111.115,111.24,109.195,109.615,59
2020/03/27,109.465,109.515,107.75,107.88,393
2020/03/30,107.845,108.31,107.12,107.945,99
2020/03/31,107.86,108.745,107.45,107.535,56
2020/04/01,107.485,107.955,106.91,107.165,44
2020/04/02,107.165,108.11,107.01,107.845,23
2020/04/03,107.82,108.685,107.79,108.435,17
2020/04/06,108.58,109.39,108.395,109.215,21
2020/04/07,109.24,109.29,108.665,108.795,17
2020/04/08,108.805,109.1,108.5,108.875,39
2020/04/09,108.87,109.065,108.195,108.52,46
2020/04/10,108.56,108.6,108.32,108.425,52
2020/04/13,108.4,108.445,107.49,107.765,35
2020/04/14,107.76,107.77,106.97,107.23,23
2020/04/15,107.16,107.875,106.915,107.42,40
2020/04/16,107.495,108.095,107.15,107.85,22
2020/04/17,108.035,108.09,107.295,107.6,21
2020/04/20,107.545,107.96,107.495,107.655,15
2020/04/21,107.59,107.91,107.28,107.745,14
2020/04/22,107.71,107.945,107.5,107.735,26
2020/04/23,107.775,108.055,107.34,107.62,13
2020/04/24,107.66,107.76,107.375,107.385,25
2020/04/27,107.49,107.625,106.98,107.27,18
2020/04/28,107.28,107.34,106.55,106.885,
2020/04/29,106.84,106.905,106.35,106.61,91
2020/04/30,106.65,107.51,106.395,107.175,16
2020/05/01,107.155,107.415,106.6,106.845,
2020/05/04,106.89,107.08,106.64,106.74,
2020/05/05,106.74,106.91,106.41,106.555,
2020/05/06,106.625,106.625,105.98,106.075,41
2020/05/07,106.125,106.655,105.99,106.27,18
2020/05/08,106.335,106.735,106.215,106.725,19
2020/05/11,106.745,107.78,106.71,107.65,13
2020/05/12,107.625,107.705,107.12,107.16,11
2020/05/13,107.19,107.295,106.735,107.02,33
2020/05/14,107.105,107.375,106.765,107.255,13
2020/05/15,107.245,107.45,106.85,107.22,14
2020/05/18,107.12,107.515,107.065,107.32,18
2020/05/19,107.35,108.1,107.3,107.735,13
2020/05/20,107.765,107.995,107.325,107.565,33
2020/05/21,107.58,107.86,107.52,107.615,
2020/05/22,107.63,107.75,107.315,107.605,11
2020/05/25,107.645,107.79,107.615,107.74,14
2020/05/26,107.725,107.935,107.4,107.545,11
2020/05/27,107.515,107.95,107.36,107.745,36
2020/05/28,107.695,107.905,107.585,107.63,14
2020/05/29,107.6,107.9,107.065,107.825,13
2020/06/01,107.73,107.865,107.39,107.6,11
2020/06/02,107.64,108.775,107.505,108.66,11
2020/06/03,108.655,108.995,108.415,108.93,26
2020/06/04,108.935,109.21,108.61,109.155,10
2020/06/05,109.14,109.865,109.04,109.66,10
2020/06/08,109.655,109.7,108.225,108.455,9
2020/06/09,108.425,108.56,107.61,107.755,9
2020/06/10,107.685,107.885,106.975,107.14,28
2020/06/11,107.145,107.25,106.56,106.85,10
2020/06/12,106.845,107.555,106.575,107.395,12
2020/06/15,107.565,107.575,106.995,107.365,11
2020/06/16,107.425,107.64,107.2,107.285,12
2020/06/17,107.345,107.435,106.945,107.02,30
2020/06/18,107.025,107.14,106.655,106.995,11
2020/06/19,106.975,107.06,106.77,106.795,13
2020/06/22,106.88,107.015,106.78,106.885,13
2020/06/23,106.88,107.235,106.06,106.545,10
2020/06/24,106.505,107.085,106.38,107.05,25
2020/06/25,107.015,107.455,107,107.16,11
2020/06/26,107.24,107.36,106.795,107.17,63
2020/06/29,107.175,107.9,107.03,107.6,14
2020/06/30,107.525,108,107.51,107.95,13
2020/07/01,107.965,108.175,107.35,107.465,36
2020/07/02,107.49,107.73,107.33,107.48,15
2020/07/03,107.56,107.58,107.425,107.505,15
2020/07/06,107.575,107.78,107.255,107.415,15
2020/07/07,107.38,107.8,107.26,107.55,15
2020/07/08,107.565,107.72,107.195,107.27,38
2020/07/09,107.34,107.405,107.085,107.2,14
2020/07/10,107.22,107.26,106.635,106.92,18
2020/07/13,106.925,107.305,106.775,107.275,25
2020/07/14,107.24,107.425,107.105,107.225,15
2020/07/15,107.27,107.32,106.66,106.935,25
2020/07/16,106.915,107.4,106.82,107.295,11
2020/07/17,107.25,107.37,106.94,106.955,14
2020/07/20,107.05,107.535,107.015,107.3,62
2020/07/21,107.27,107.38,106.68,106.795,15
2020/07/22,106.8,107.3,106.7,107.15,
2020/07/23,107.105,107.225,106.7,106.895,
2020/07/24,106.865,106.9,105.67,105.955,14
2020/07/27,106.025,106.065,105.11,105.4,12
2020/07/28,105.4,105.7,104.95,105.105,13
2020/07/29,105.1,105.25,104.765,104.955,36
2020/07/30,104.96,105.305,104.67,104.725,13
2020/07/31,104.845,106.065,104.18,105.855,14
2020/08/03,105.865,106.485,105.575,105.94,13
2020/08/04,106.07,106.205,105.63,105.72,12
2020/08/05,105.8,105.88,105.315,105.58,36
2020/08/06,105.57,105.705,105.29,105.525,13
2020/08/07,105.485,106.06,105.475,105.905,
2020/08/10,105.92,106.21,105.7,105.975,13
2020/08/11,105.915,106.7,105.91,106.49,12
2020/08/12,106.555,107.01,106.435,106.885,27
2020/08/13,106.85,107.06,106.55,106.91,12
2020/08/14,106.96,107.05,106.425,106.605,12
2020/08/17,106.62,106.66,105.94,105.99,12
2020/08/18,106.065,106.065,105.27,105.385,11
2020/08/19,105.355,106.165,105.09,106.11,29
2020/08/20,106.08,106.225,105.74,105.77,12
2020/08/21,105.78,106.07,105.435,105.81,11
2020/08/24,105.835,106.015,105.68,105.975,11
2020/08/25,105.96,106.585,105.86,106.41,11
2020/08/26,106.395,106.565,105.95,105.96,27
2020/08/27,106.05,106.71,105.59,106.585,14
2020/08/28,106.52,106.955,105.19,105.41,14
2020/08/31,105.57,106.11,105.28,105.92,14
2020/09/01,105.855,106.165,105.605,105.94,12
2020/09/02,105.97,106.32,105.84,106.205,42
2020/09/03,106.11,106.56,105.99,106.195,
2020/09/04,106.135,106.52,106.045,106.235,13
2020/09/07,106.25,106.4,106.12,106.305,14
2020/09/08,106.26,106.395,105.855,106.015,13
2020/09/09,105.99,106.285,105.78,106.185,36
2020/09/10,106.185,106.3,105.995,106.15,14
2020/09/11,106.175,106.26,106.045,106.07,15
2020/09/14,106.155,106.175,105.535,105.72,14
2020/09/15,105.74,105.82,105.29,105.435,12
2020/09/16,105.45,105.455,104.785,104.99,54
2020/09/17,104.965,105.18,104.515,104.75,13
2020/09/18,104.815,104.875,104.26,104.62,
2020/09/21,104.45,104.905,103.99,104.695,
2020/09/22,104.66,105.08,104.4,104.97,14
2020/09/23,104.905,105.5,104.905,105.35,34
2020/09/24,105.305,105.54,105.195,105.445,12
2020/09/25,105.43,105.71,105.23,105.615,13
2020/09/28,105.61,105.66,105.25,105.52,43
2020/09/29,105.495,105.75,105.33,105.7,13
2020/09/30,105.65,105.805,105.395,105.45,36
2020/10/01,105.47,105.73,105.395,105.575,13
2020/10/02,105.52,105.68,104.93,105.37,13
2020/10/05,105.455,105.8,105.4,105.73,13
2020/10/06,105.715,105.795,105.48,105.645,12
2020/10/07,105.62,106.12,105.6,105.965,40
2020/10/08,105.95,106.1,105.915,106.03,
2020/10/09,106.01,106.045,105.575,105.6,12
2020/10/12,105.715,105.715,105.23,105.355,12
2020/10/13,105.37,105.64,105.275,105.465,13
2020/10/14,105.525,105.525,105.03,105.15,37
2020/10/15,105.135,105.51,105.095,105.4,14
2020/10/16,105.395,105.45,105.19,105.405,13
2020/10/19,105.375,105.5,105.29,105.4,10
2020/10/20,105.455,105.76,105.415,105.485,11
2020/10/21,105.495,105.54,104.33,104.57,29
2020/10/22,104.59,104.93,104.47,104.88,11
2020/10/23,104.865,104.95,104.545,104.695,12
2020/10/26,104.705,105.07,104.65,104.85,12
2020/10/27,104.835,104.9,104.385,104.43,13
2020/10/28,104.53,104.57,104.1,104.35,35
2020/10/29,104.32,104.72,104.02,104.605,26
2020/10/30,104.6,104.75,104.14,104.68,15
2020/11/02,104.595,104.96,104.565,104.77,
2020/11/03,104.725,104.81,104.425,104.54,16
2020/11/04,104.615,105.35,104.14,104.49,36
2020/11/05,104.465,104.52,103.435,103.54,12
2020/11/06,103.625,103.775,103.165,103.275,25
2020/11/09,103.35,105.655,103.185,105.4,
2020/11/10,105.305,105.5,104.815,105.23,14
2020/11/11,105.285,105.68,105,105.415,35
2020/11/12,105.42,105.49,105.06,105.11,13
2020/11/13,105.095,105.155,104.55,104.655,14
2020/11/16,104.67,105.14,104.355,104.55,13
2020/11/17,104.6,104.6,104.06,104.2,11
2020/11/18,104.205,104.21,103.64,103.81,36
2020/11/19,103.785,104.225,103.71,103.735,12
2020/11/20,103.81,103.925,103.69,103.825,
2020/11/23,103.835,104.65,103.67,104.52,25
