date, open, high, low, closing, swap
2014/03/25,102.265,102.505,102.085,102.245,6
2014/03/26,102.31,102.48,101.86,102.045,23
2014/03/27,102.075,102.445,101.725,102.2,14
2014/03/28,102.24,102.995,102.02,102.795,4
2014/03/31,102.905,103.45,102.785,103.23,5
2014/04/01,103.215,103.725,103.08,103.675,4
2014/04/02,103.715,103.95,103.575,103.89,12
2014/04/03,103.89,104.13,103.8,103.965,4
2014/04/04,103.94,104.18,103.185,103.245,4
2014/04/07,103.33,103.405,102.99,103.07,5
2014/04/08,103.085,103.13,101.54,101.795,4
2014/04/09,101.87,102.17,101.705,102.005,15
2014/04/10,102.01,102.155,101.33,101.56,3
2014/04/11,101.465,101.875,101.315,101.62,4
2014/04/14,101.57,102.025,101.405,101.83,5
2014/04/15,101.88,102.01,101.495,101.9,4
2014/04/16,101.865,102.375,101.8,102.265,11
2014/04/17,102.23,102.48,101.85,102.395,2
2014/04/18,102.39,102.585,102.35,102.46,1
2014/04/21,102.45,102.71,102.38,102.61,3
2014/04/22,102.63,102.735,102.4,102.59,3
2014/04/23,102.6,102.71,102.15,102.55,11
2014/04/24,102.52,102.655,102.075,102.31,8
2014/04/25,102.275,102.505,101.95,102.15,5
2014/04/28,102.18,102.635,102.035,102.495,
2014/04/29,102.475,102.795,102.465,102.66,4
2014/04/30,102.63,102.685,102.02,102.24,34
2014/05/01,102.24,102.385,102.12,102.32,2
2014/05/02,102.305,103.05,102.12,102.245,
2014/05/05,102.245,102.26,101.85,102.17,
2014/05/06,102.175,102.205,101.48,101.665,5
2014/05/07,101.755,102.02,101.415,101.92,16
2014/05/08,101.88,101.965,101.445,101.605,3
2014/05/09,101.64,101.855,101.53,101.795,3
2014/05/12,101.865,102.2,101.8,102.1,4
2014/05/13,102.17,102.375,102.05,102.275,4
2014/05/14,102.285,102.295,101.705,101.855,15
2014/05/15,101.865,102.13,101.3,101.595,4
2014/05/16,101.6,101.69,101.35,101.56,4
2014/05/19,101.54,101.615,101.09,101.505,3
2014/05/20,101.46,101.62,101.18,101.315,2
2014/05/21,101.285,101.64,100.81,101.375,15
2014/05/22,101.45,101.83,101.345,101.685,
2014/05/23,101.71,102.025,101.58,102,6
2014/05/26,101.985,102.07,101.825,101.955,2
2014/05/27,101.96,102.155,101.71,101.995,2
2014/05/28,102.04,102.045,101.625,101.85,14
2014/05/29,101.805,101.84,101.415,101.77,3
2014/05/30,101.72,101.86,101.485,101.775,4
2014/06/02,101.795,102.5,101.755,102.39,4
2014/06/03,102.375,102.565,102.255,102.485,4
2014/06/04,102.52,102.81,102.43,102.755,15
2014/06/05,102.71,102.74,102.335,102.44,3
2014/06/06,102.44,102.625,102.1,102.515,3
2014/06/09,102.63,102.66,102.365,102.55,3
2014/06/10,102.535,102.58,102.2,102.32,2
2014/06/11,102.365,102.405,101.85,102.03,10
2014/06/12,102.03,102.155,101.595,101.73,2
2014/06/13,101.765,102.15,101.65,101.98,2
2014/06/16,102.025,102.06,101.73,101.865,2
2014/06/17,101.85,102.26,101.805,102.16,2
2014/06/18,102.145,102.41,101.875,101.915,11
2014/06/19,101.95,102.02,101.725,101.955,2
2014/06/20,101.965,102.215,101.81,102.09,3
2014/06/23,102.125,102.15,101.805,101.97,4
2014/06/24,101.935,102.18,101.81,102,4
2014/06/25,101.95,101.985,101.615,101.85,15
2014/06/26,101.855,101.87,101.475,101.695,16
2014/06/27,101.665,101.705,101.3,101.395,5
2014/06/30,101.47,101.485,101.22,101.315,8
2014/07/01,101.32,101.605,101.28,101.55,38
2014/07/02,101.575,101.86,101.4,101.775,
2014/07/03,101.76,102.285,101.75,102.2,4
2014/07/04,102.19,102.235,101.955,102.08,5
2014/07/07,102.09,102.21,101.775,101.865,2
2014/07/08,101.86,101.9,101.485,101.59,3
2014/07/09,101.53,101.88,101.43,101.635,14
2014/07/10,101.655,101.66,101.055,101.36,4
2014/07/11,101.36,101.4,101.2,101.34,3
2014/07/14,101.38,101.635,101.32,101.555,3
2014/07/15,101.55,101.765,101.425,101.655,3
2014/07/16,101.66,101.805,101.62,101.715,20
2014/07/17,101.69,101.69,101.125,101.19,3
2014/07/18,101.16,101.455,101.08,101.34,
2014/07/21,101.35,101.41,101.185,101.4,3
2014/07/22,101.435,101.61,101.32,101.47,2
2014/07/23,101.46,101.56,101.305,101.51,9
2014/07/24,101.56,101.85,101.405,101.82,1
2014/07/25,101.825,101.955,101.7,101.82,1
2014/07/28,101.82,101.91,101.74,101.84,1
2014/07/29,101.825,102.17,101.81,102.14,6
2014/07/30,102.1,103.105,102.025,102.77,3
2014/07/31,102.835,103.025,102.71,102.815,2
2014/08/01,102.78,103.075,102.335,102.61,3
2014/08/04,102.58,102.74,102.39,102.605,3
2014/08/05,102.54,102.94,102.445,102.6,2
2014/08/06,102.64,102.655,101.77,102.08,11
2014/08/07,102.17,102.47,101.985,102.11,2
2014/08/08,102.09,102.155,101.495,102.095,2
2014/08/11,102.17,102.24,102.01,102.22,2
2014/08/12,102.205,102.38,102.085,102.255,3
2014/08/13,102.24,102.55,102.215,102.44,14
2014/08/14,102.405,102.665,102.3,102.47,3
2014/08/15,102.46,102.725,102.13,102.31,2
2014/08/18,102.42,102.605,102.235,102.57,3
2014/08/19,102.565,102.94,102.51,102.89,3
2014/08/20,102.93,103.865,102.89,103.755,14
2014/08/21,103.74,103.97,103.59,103.865,2
2014/08/22,103.85,104.205,103.485,103.97,1
2014/08/25,104.175,104.29,103.85,104.06,1
2014/08/26,104.025,104.185,103.735,104.085,1
2014/08/27,104.085,104.175,103.775,103.905,20
2014/08/28,103.89,103.94,103.545,103.73,
2014/08/29,103.7,104.115,103.645,104.06,2
2014/09/01,104.15,104.36,104.09,104.36,2
2014/09/02,104.34,105.22,104.285,105.045,1
2014/09/03,105.125,105.325,104.725,104.81,10
2014/09/04,104.85,105.38,104.75,105.245,2
2014/09/05,105.305,105.72,104.67,105.075,2
