date, open, high, low, closing, swap
2017/03/27,110.8,110.9,110.095,110.65,27
2017/03/28,110.615,111.215,110.19,111.2,27
2017/03/29,111.08,111.33,110.7,111,161
2017/03/30,111.005,111.94,110.945,111.94,31
2017/03/31,111.87,112.21,111.235,111.33,30
2017/04/03,111.48,111.605,110.84,110.875,30
2017/04/04,110.895,110.905,110.26,110.745,30
2017/04/05,110.725,111.475,110.535,110.695,95
2017/04/06,110.53,111.13,110.28,110.78,34
2017/04/07,110.885,111.38,110.08,111.195,38
2017/04/10,111.185,111.6,110.795,110.905,37
2017/04/11,110.875,110.9,109.595,109.595,34
2017/04/12,109.585,109.88,108.99,109.02,100
2017/04/13,108.945,109.41,108.71,109.11,34
2017/04/14,109.15,109.235,108.54,108.575,31
2017/04/17,108.775,109.07,108.12,108.885,39
2017/04/18,109.025,109.235,108.31,108.45,36
2017/04/19,108.455,109.19,108.37,108.87,106
2017/04/20,108.85,109.505,108.72,109.325,34
2017/04/21,109.305,109.44,108.875,109.1,38
2017/04/24,110.24,110.36,109.65,109.77,34
2017/04/25,109.765,111.2,109.6,111.15,31
2017/04/26,111.095,111.785,110.86,111,99
2017/04/27,111.1,111.61,111.045,111.26,37
2017/04/28,111.24,111.72,111.055,111.49,258
2017/05/01,111.345,111.93,111.2,111.84,48
2017/05/02,111.82,112.32,111.77,111.98,
2017/05/03,112.025,112.785,111.955,112.785,
2017/05/04,112.67,113.06,112.3,112.47,
2017/05/05,112.565,112.8,112.075,112.465,43
2017/05/08,112.835,113.31,112.385,113.22,38
2017/05/09,113.295,114.335,113.12,114,39
2017/05/10,114.045,114.375,113.625,114.27,116
2017/05/11,114.3,114.38,113.44,113.88,42
2017/05/12,113.835,113.97,113.185,113.275,44
2017/05/15,113.26,113.86,113.195,113.78,41
2017/05/16,113.59,113.78,112.93,113.095,40
2017/05/17,113.1,113.12,110.85,110.885,119
2017/05/18,110.655,111.75,110.23,111.53,40
2017/05/19,111.6,111.715,111.035,111.18,39
2017/05/22,111.245,111.615,110.925,111.305,37
2017/05/23,111.315,111.87,110.85,111.77,38
2017/05/24,111.82,112.13,111.465,111.525,147
2017/05/25,111.58,111.96,111.5,111.83,
2017/05/26,111.82,111.86,110.87,111.27,40
2017/05/29,111.29,111.48,111.16,111.285,40
2017/05/30,111.325,111.325,110.65,110.805,40
2017/05/31,110.84,111.23,110.48,110.75,113
2017/06/01,110.815,111.515,110.7,111.36,35
2017/06/02,111.35,111.715,110.32,110.41,34
2017/06/05,110.45,110.75,110.3,110.45,34
2017/06/06,110.52,110.52,109.215,109.43,29
2017/06/07,109.43,109.9,109.1,109.825,93
2017/06/08,109.775,110.4,109.39,110.025,32
2017/06/09,109.885,110.83,109.8,110.245,35
2017/06/12,110.375,110.455,109.62,109.935,35
2017/06/13,109.92,110.285,109.815,110.095,40
2017/06/14,110.1,110.355,108.78,109.555,122
2017/06/15,109.645,110.99,109.265,110.93,43
2017/06/16,110.89,111.43,110.64,110.85,44
2017/06/19,110.88,111.615,110.775,111.535,45
2017/06/20,111.59,111.8,111.3,111.49,43
2017/06/21,111.47,111.75,111.055,111.395,123
2017/06/22,111.42,111.455,110.94,111.33,44
2017/06/23,111.27,111.45,111.145,111.25,47
2017/06/26,111.23,111.95,111.19,111.88,47
2017/06/27,111.865,112.48,111.45,112.35,45
2017/06/28,112.3,112.43,111.82,112.35,215
2017/06/29,112.3,112.94,111.8,112.175,100
2017/06/30,112.14,112.605,111.715,112.475,
2017/07/03,112.31,113.485,112.195,113.375,52
2017/07/04,113.4,113.425,112.73,113.3,49
