date, open, high, low, closing, swap
2021/03/25,108.73,109.25,108.72,109.175,9
2021/03/26,109.19,109.86,109.125,109.64,11
2021/03/29,109.71,109.855,109.38,109.855,54
2021/03/30,109.805,110.435,109.755,110.36,19
2021/03/31,110.37,110.98,110.275,110.72,39
2021/04/01,110.735,110.855,110.545,110.63,23
2021/04/02,110.58,110.76,110.36,110.645,45
2021/04/05,110.635,110.76,109.95,110.165,19
2021/04/06,110.18,110.56,109.66,109.725,12
2021/04/07,109.79,109.95,109.575,109.82,27
2021/04/08,109.825,109.91,108.99,109.25,10
2021/04/09,109.285,109.97,109.2,109.665,10
2021/04/12,109.71,109.775,109.24,109.385,10
2021/04/13,109.41,109.76,109.01,109.075,11
2021/04/14,109.075,109.1,108.75,108.935,24
2021/04/15,108.955,108.97,108.6,108.745,10
2021/04/16,108.725,108.975,108.61,108.81,10
2021/04/19,108.835,108.835,107.995,108.125,9
2021/04/20,108.17,108.565,107.96,108.08,9
2021/04/21,108.09,108.29,107.87,108.075,20
2021/04/22,108.09,108.225,107.8,107.985,8
2021/04/23,107.97,108.135,107.47,107.9,8
2021/04/26,107.89,108.21,107.645,108.08,17
2021/04/27,108.115,108.79,108.09,108.73,59
2021/04/28,108.705,109.09,108.56,108.595,
2021/04/29,108.62,109.23,108.43,108.9,10
2021/04/30,108.955,109.355,108.7,109.275,
2021/05/03,109.35,109.71,108.89,109.055,
2021/05/04,109.05,109.495,109.02,109.32,
2021/05/05,109.3,109.48,109.14,109.21,18
2021/05/06,109.2,109.43,108.99,109.1,7
2021/05/07,109.08,109.3,108.33,108.61,10
2021/05/10,108.535,109.07,108.46,108.83,11
2021/05/11,108.835,109,108.34,108.615,10
2021/05/12,108.605,109.7,108.6,109.665,24
2021/05/13,109.685,109.8,109.4,109.435,9
2021/05/14,109.48,109.655,109.18,109.35,10
2021/05/17,109.36,109.515,109.065,109.23,10
2021/05/18,109.225,109.3,108.82,108.915,9
2021/05/19,108.875,109.35,108.555,109.185,24
2021/05/20,109.18,109.315,108.74,108.775,9
2021/05/21,108.8,109.02,108.6,108.89,10
2021/05/24,108.95,109.01,108.69,108.755,9
2021/05/25,108.775,109.075,108.55,108.785,10
2021/05/26,108.795,109.185,108.72,109.15,33
2021/05/27,109.115,109.935,109.03,109.82,
2021/05/28,109.8,110.215,109.73,109.835,10
2021/05/31,109.875,109.95,109.34,109.535,9
2021/06/01,109.595,109.71,109.32,109.5,8
2021/06/02,109.45,109.895,109.445,109.54,23
2021/06/03,109.58,110.335,109.555,110.3,8
2021/06/04,110.29,110.345,109.36,109.51,9
2021/06/07,109.54,109.65,109.18,109.275,9
2021/06/08,109.275,109.57,109.215,109.47,10
2021/06/09,109.51,109.67,109.215,109.615,22
2021/06/10,109.605,109.8,109.3,109.335,8
2021/06/11,109.37,109.855,109.305,109.68,8
2021/06/14,109.735,110.11,109.6,110.07,9
2021/06/15,110.055,110.18,109.975,110.04,9
2021/06/16,110.045,110.73,109.795,110.7,24
2021/06/17,110.655,110.84,110.155,110.25,10
2021/06/18,110.28,110.5,109.93,110.16,10
2021/06/21,110.195,110.365,109.705,110.3,10
2021/06/22,110.29,110.805,110.2,110.66,10
2021/06/23,110.66,111.115,110.615,110.95,26
2021/06/24,110.985,111.13,110.675,110.865,10
2021/06/25,110.84,111,110.47,110.765,12
2021/06/28,110.815,110.985,110.49,110.605,41
2021/06/29,110.62,110.775,110.42,110.56,13
2021/06/30,110.555,111.135,110.435,111.1,36
2021/07/01,111.11,111.65,111.015,111.555,
2021/07/02,111.55,111.67,110.94,111.045,10
2021/07/05,111.055,111.205,110.785,110.955,9
2021/07/06,110.985,110.985,110.51,110.605,10
2021/07/07,110.645,110.825,110.385,110.64,27
2021/07/08,110.665,110.675,109.52,109.745,11
2021/07/09,109.745,110.255,109.745,110.105,13
2021/07/12,110.195,110.415,109.985,110.365,11
2021/07/13,110.345,110.665,110.195,110.625,11
2021/07/14,110.635,110.71,109.925,109.96,25
2021/07/15,109.94,110.1,109.7,109.845,9
2021/07/16,109.85,110.35,109.725,110.07,10
2021/07/19,110.09,110.1,109.05,109.47,41
2021/07/20,109.475,109.965,109.32,109.845,10
2021/07/21,109.855,110.4,109.795,110.31,
2021/07/22,110.275,110.37,110,110.16,
2021/07/23,110.135,110.6,110.085,110.535,11
2021/07/26,110.555,110.6,110.115,110.395,9
2021/07/27,110.405,110.405,109.58,109.82,8
2021/07/28,109.785,110.3,109.73,109.92,26
2021/07/29,109.94,109.955,109.415,109.5,9
2021/07/30,109.48,109.835,109.35,109.725,9
2021/08/02,109.72,109.785,109.175,109.305,9
2021/08/03,109.335,109.355,108.87,109.045,8
2021/08/04,109.065,109.69,108.715,109.5,28
2021/08/05,109.465,109.8,109.4,109.76,9
2021/08/06,109.745,110.36,109.695,110.21,
2021/08/09,110.285,110.36,110.01,110.335,9
2021/08/10,110.3,110.61,110.235,110.565,10
2021/08/11,110.57,110.81,110.295,110.45,23
2021/08/12,110.44,110.555,110.315,110.42,9
2021/08/13,110.455,110.46,109.535,109.575,9
2021/08/16,109.62,109.76,109.115,109.27,9
2021/08/17,109.3,109.655,109.105,109.575,10
2021/08/18,109.61,110.07,109.47,109.745,25
2021/08/19,109.8,110.23,109.475,109.795,10
2021/08/20,109.77,109.89,109.56,109.795,10
2021/08/23,109.77,110.16,109.645,109.7,9
2021/08/24,109.7,109.885,109.405,109.7,8
2021/08/25,109.68,110.135,109.645,109.97,24
2021/08/26,110.01,110.24,109.915,110.07,9
2021/08/27,110.045,110.275,109.78,109.835,13
2021/08/30,109.81,109.965,109.69,109.955,10
2021/08/31,109.905,110.085,109.575,109.985,10
2021/09/01,110,110.43,109.87,110.065,31
2021/09/02,110.06,110.115,109.905,109.95,
