date, open, high, low, closing, swap
2015/03/25,119.755,119.835,119.225,119.5,34
2015/03/26,119.515,119.575,118.32,119.18,9
2015/03/27,119.25,119.505,118.92,119.175,139
2015/03/30,119.235,120.23,119.13,120.125,9
2015/03/31,120.115,120.37,119.77,120.095,11
2015/04/01,120.06,120.35,119.4,119.775,25
2015/04/02,119.7,119.91,119.44,119.715,8
2015/04/03,119.73,120.05,118.685,118.98,4
2015/04/06,118.94,119.7,118.79,119.465,5
2015/04/07,119.5,120.46,119.43,120.255,9
2015/04/08,120.345,120.36,119.64,120.12,25
2015/04/09,120.15,120.75,119.85,120.555,5
2015/04/10,120.55,120.64,120.055,120.205,4
2015/04/13,120.285,120.855,119.675,120.18,3
2015/04/14,120.165,120.195,119.06,119.45,3
2015/04/15,119.385,119.755,118.775,119.165,15
2015/04/16,119.125,119.485,118.785,118.965,3
2015/04/17,119,119.28,118.56,118.795,2
2015/04/20,118.885,119.45,118.52,119.185,2
2015/04/21,119.265,119.85,119.165,119.655,1
2015/04/22,119.71,119.97,119.34,119.895,9
2015/04/23,119.91,120.11,119.42,119.6,2
2015/04/24,119.6,119.68,118.82,118.88,5
2015/04/27,118.91,119.45,118.765,119.05,10
2015/04/28,119.115,119.2,118.76,118.91,
2015/04/29,118.865,119.375,118.595,119.02,19
2015/04/30,119.155,119.905,118.485,119.385,2
2015/05/01,119.45,120.3,119.39,120.19,
2015/05/04,120.24,120.29,119.985,120.12,
2015/05/05,120.16,120.52,119.7,119.89,
2015/05/06,119.88,120.05,119.195,119.49,19
2015/05/07,119.475,119.88,119.045,119.725,6
2015/05/08,119.66,120.255,119.555,119.7,6
2015/05/11,119.8,120.17,119.705,120.095,8
2015/05/12,120.1,120.285,119.78,119.86,6
2015/05/13,119.865,119.98,119.02,119.2,19
2015/05/14,119.195,119.35,118.88,119.175,6
2015/05/15,119.225,119.94,119.165,119.35,8
2015/05/18,119.405,120.05,119.33,119.96,8
2015/05/19,120.005,120.75,119.82,120.7,6
2015/05/20,120.67,121.495,120.57,121.29,24
2015/05/21,121.31,121.32,120.84,121.1,
2015/05/22,121.1,121.585,120.64,121.565,3
2015/05/25,121.615,121.795,121.43,121.545,-1
2015/05/26,121.57,123.335,121.525,123.135,4
2015/05/27,123.08,124.09,122.76,123.68,14
2015/05/28,123.735,124.48,123.485,123.975,4
2015/05/29,123.96,124.2,123.59,124.1,3
2015/06/01,124.17,124.93,123.85,124.795,2
2015/06/02,124.79,125.08,123.74,124.115,3
2015/06/03,124.1,124.7,123.79,124.245,13
2015/06/04,124.29,124.7,123.77,124.385,2
2015/06/05,124.47,125.87,124.365,125.66,3
2015/06/08,125.645,125.685,124.275,124.49,3
2015/06/09,124.61,124.75,123.85,124.31,3
2015/06/10,124.315,124.63,122.45,122.69,10
