date, open, high, low, closing, swap
2016/03/25,112.825,113.35,112.745,113.125,13
2016/03/28,113.295,113.7,113.135,113.47,14
2016/03/29,113.395,113.82,112.6,112.76,322
2016/03/30,112.735,112.815,112.005,112.395,96
2016/03/31,112.445,112.68,112.095,112.585,32
2016/04/01,112.55,112.59,111.585,111.66,47
2016/04/04,111.665,111.81,111.085,111.3,21
2016/04/05,111.335,111.345,109.94,110.305,20
2016/04/06,110.325,110.65,109.335,109.805,88
2016/04/07,109.78,109.915,107.69,108.23,25
2016/04/08,108.39,109.115,108.175,108.19,27
2016/04/11,108.065,108.45,107.62,107.935,20
2016/04/12,107.94,108.805,107.86,108.565,17
2016/04/13,108.6,109.415,108.5,109.395,53
2016/04/14,109.295,109.555,108.895,109.35,14
2016/04/15,109.455,109.75,108.59,108.735,11
2016/04/18,108.295,109.005,107.83,108.855,13
2016/04/19,108.88,109.5,108.78,109.21,13
2016/04/20,109.305,109.9,108.75,109.82,39
2016/04/21,109.765,109.915,109.315,109.49,11
2016/04/22,109.445,111.815,109.25,111.615,8
2016/04/25,111.72,111.725,110.83,111.215,10
2016/04/26,111.24,111.48,110.66,111.325,63
2016/04/27,111.295,111.775,111.02,111.52,49
2016/04/28,111.49,111.9,107.85,108.13,
2016/04/29,108.115,108.22,106.26,106.365,44
2016/05/02,106.52,106.835,106.125,106.39,
2016/05/03,106.41,106.7,105.535,106.7,
2016/05/04,107.105,107.375,106.24,106.975,
2016/05/05,106.975,107.515,106.79,107.255,16
2016/05/06,107.29,107.435,106.34,107.125,12
2016/05/09,107.23,108.62,107.185,108.305,16
2016/05/10,108.465,109.36,108.26,109.29,14
2016/05/11,109.36,109.37,108.36,108.435,55
2016/05/12,108.455,109.41,108.225,108.985,18
2016/05/13,109.03,109.6,108.5,108.65,20
2016/05/16,108.605,109.105,108.47,109.055,25
2016/05/17,109.075,109.675,108.83,109.095,18
2016/05/18,109.13,110.275,108.71,110.215,48
2016/05/19,110.2,110.4,109.69,109.95,15
2016/05/20,109.935,110.605,109.84,110.15,21
2016/05/23,110.205,110.25,109.1,109.26,17
2016/05/24,109.245,110.13,109.16,110.01,18
2016/05/25,109.96,110.46,109.85,110.235,70
2016/05/26,110.205,110.25,109.415,109.735,
2016/05/27,109.775,110.46,109.465,110.405,36
2016/05/30,110.53,111.46,110.45,111.1,5
2016/05/31,111.15,111.35,110.49,110.715,15
2016/06/01,110.755,110.85,109.04,109.525,58
2016/06/02,109.49,109.6,108.51,108.865,18
2016/06/03,108.87,109.15,106.535,106.62,15
2016/06/06,106.65,107.67,106.42,107.525,18
2016/06/07,107.59,107.915,107.15,107.41,17
2016/06/08,107.36,107.4,106.585,107.035,51
2016/06/09,106.965,107.185,106.24,107.1,17
2016/06/10,106.95,107.275,106.55,106.755,22
2016/06/13,106.76,106.86,105.735,106.18,19
2016/06/14,106.17,106.42,105.615,106.075,15
2016/06/15,106.045,106.41,105.4,106.03,49
2016/06/16,105.98,106.02,103.54,104.22,16
2016/06/17,104.32,104.845,104.085,104.23,18
2016/06/20,104.795,104.86,103.77,103.965,18
2016/06/21,104,105.07,103.58,104.81,15
2016/06/22,104.755,104.855,104.3,104.46,56
2016/06/23,104.835,106.155,104.04,106.15,15
2016/06/24,106.64,106.7,98.195,102.31,23
2016/06/27,101.99,102.5,101.395,102,24
2016/06/28,101.94,102.85,101.55,102.785,172
2016/06/29,102.72,102.95,102.16,102.82,127
2016/06/30,102.935,103.31,102.34,103.27,
2016/07/01,103.33,103.33,102.425,102.585,16
2016/07/04,102.64,102.82,102.405,102.545,18
2016/07/05,102.555,102.6,101.44,101.725,19
2016/07/06,101.695,101.745,100.185,101.285,102
2016/07/07,101.405,101.405,100.58,100.75,36
2016/07/08,100.75,101.33,99.975,100.445,35
2016/07/11,100.61,102.91,100.555,102.815,30
2016/07/12,102.725,105,102.435,104.69,29
2016/07/13,104.785,104.89,103.9,104.505,111
2016/07/14,104.35,105.95,103.965,105.39,29
2016/07/15,105.375,106.33,105.035,105.465,
2016/07/18,105.45,106.27,105.26,106.16,41
2016/07/19,106.195,106.55,105.645,106.145,29
2016/07/20,106.075,107.03,105.83,106.895,106
2016/07/21,107.23,107.505,105.415,105.81,29
2016/07/22,106.24,106.415,105.57,106.14,27
2016/07/25,106.265,106.735,105.735,105.78,24
2016/07/26,105.805,105.9,103.98,104.635,24
2016/07/27,104.745,106.535,104.675,105.33,85
2016/07/28,105.33,105.52,104.485,105.34,27
2016/07/29,105.27,105.805,101.955,102.05,25
2016/08/01,102.23,102.7,102.105,102.445,22
2016/08/02,102.37,102.85,100.67,100.875,20
2016/08/03,100.9,101.58,100.735,101.265,67
2016/08/04,101.25,101.68,100.855,101.235,22
2016/08/05,101.2,102.075,100.86,101.74,29
2016/08/08,102.06,102.675,101.9,102.47,48
2016/08/09,102.42,102.545,101.775,101.895,71
2016/08/10,101.875,101.97,100.96,101.28,
2016/08/11,101.205,102.055,101.02,101.97,25
2016/08/12,101.94,102.29,100.82,101.245,27
2016/08/15,101.26,101.47,100.855,101.25,21
2016/08/16,101.295,101.295,99.53,100.295,18
2016/08/17,100.25,101.18,100.04,100.27,52
2016/08/18,100.27,100.51,99.63,99.865,22
2016/08/19,99.965,100.47,99.895,100.16,24
2016/08/22,100.58,100.95,100.2,100.34,21
2016/08/23,100.31,100.41,99.93,100.225,21
2016/08/24,100.22,100.615,100.09,100.475,65
2016/08/25,100.455,100.63,100.285,100.53,21
2016/08/26,100.53,101.955,100.045,101.805,21
2016/08/29,101.93,102.405,101.825,101.875,20
2016/08/30,101.925,103.15,101.74,102.955,26
2016/08/31,103.005,103.55,102.85,103.45,83
2016/09/01,103.36,104.015,103.05,103.27,
2016/09/02,103.245,104.335,102.795,104,19
2016/09/05,104.05,104.15,103.13,103.455,15
2016/09/06,103.41,103.81,101.92,101.985,18
2016/09/07,102.085,102.14,101.19,101.745,57
2016/09/08,101.715,102.62,101.4,102.465,20
2016/09/09,102.41,103.07,101.95,102.705,21
2016/09/12,102.645,102.68,101.55,101.83,18
2016/09/13,101.915,102.76,101.42,102.59,16
2016/09/14,102.54,103.36,102.24,102.405,73
2016/09/15,102.395,102.765,101.895,102.125,18
2016/09/16,102.105,102.475,101.725,102.31,
2016/09/19,102.235,102.435,101.57,101.89,56
2016/09/20,101.84,102.075,101.525,101.74,89
2016/09/21,101.7,102.8,100.29,100.34,
2016/09/22,100.445,100.94,100.09,100.745,31
2016/09/23,100.775,101.255,100.66,101.04,29
2016/09/26,101.03,101.085,100.235,100.32,32
2016/09/27,100.29,101.005,100.075,100.365,31
2016/09/28,100.44,100.83,100.25,100.71,411
2016/09/29,100.74,101.845,100.69,101.055,39
2016/09/30,101.11,101.77,100.735,101.425,34
2016/10/03,101.44,101.67,101.2,101.665,33
2016/10/04,101.615,102.98,101.595,102.91,22
2016/10/05,102.905,103.68,102.66,103.515,81
2016/10/06,103.545,104.18,103.335,103.975,24
2016/10/07,103.985,104.025,102.85,102.98,
2016/10/10,103.17,103.8,102.8,103.63,26
2016/10/11,103.665,104.085,103.165,103.48,37
2016/10/12,103.575,104.5,103.275,104.21,83
2016/10/13,104.285,104.65,103.325,103.685,32
2016/10/14,103.69,104.49,103.595,104.215,39
2016/10/17,104.25,104.375,103.775,103.87,32
2016/10/18,103.88,104.215,103.67,103.895,32
2016/10/19,103.84,103.965,103.15,103.45,72
2016/10/20,103.41,104.1,103.33,103.95,30
2016/10/21,103.985,104.22,103.51,103.8,25
2016/10/24,103.915,104.33,103.725,104.19,27
2016/10/25,104.245,104.885,104.1,104.255,26
2016/10/26,104.24,104.625,104.01,104.495,64
2016/10/27,104.505,105.365,104.295,105.3,37
2016/10/28,105.23,105.545,104.455,104.725,37
2016/10/31,104.645,105.23,104.51,104.83,74
2016/11/01,104.78,105.13,103.79,104.135,92
2016/11/02,104.055,104.18,103.03,103.3,
2016/11/03,103.36,103.45,102.545,102.985,33
2016/11/04,102.975,103.365,102.83,103,36
2016/11/07,103.855,104.65,103.695,104.55,31
2016/11/08,104.515,105.205,104.285,105.125,134
2016/11/09,105.135,105.905,101.18,105.71,
2016/11/10,105.6,106.965,104.945,106.805,30
2016/11/11,106.75,106.945,106.04,106.73,33
2016/11/14,106.885,108.56,106.725,108.435,30
2016/11/15,108.305,109.35,107.76,109.225,30
2016/11/16,109.01,109.77,108.795,109.07,79
2016/11/17,108.905,110.19,108.545,110.13,27
2016/11/18,110.25,110.935,109.785,110.8,99
2016/11/21,110.97,111.35,110.44,110.81,
2016/11/22,110.735,111.365,110.265,111.14,
2016/11/23,111.14,112.985,110.85,112.57,106
2016/11/24,112.51,113.545,112.4,113.375,35
2016/11/25,113.34,113.91,112.54,113.035,40
2016/11/28,112.955,113,111.345,111.91,59
2016/11/29,111.86,113.355,111.61,112.4,50
2016/11/30,112.52,114.55,112.05,114.51,104
2016/12/01,114.365,114.84,113.835,114.105,34
2016/12/02,114.18,114.22,113.335,113.565,32
2016/12/05,112.97,114.785,112.845,113.895,31
2016/12/06,113.835,114.2,113.49,114.03,31
2016/12/07,114.03,114.4,113.4,113.775,78
2016/12/08,113.68,114.37,113.115,114.01,26
2016/12/09,114.11,115.38,114,115.265,29
2016/12/12,115.415,116.14,114.845,115.06,34
2016/12/13,114.85,115.495,114.77,115.18,34
2016/12/14,115.26,117.405,114.76,117.045,98
2016/12/15,117.21,118.68,117.09,118.24,39
2016/12/16,118.245,118.435,117.47,117.905,40
2016/12/19,117.975,117.985,116.5,117.13,42
2016/12/20,117.105,118.26,116.975,117.82,218
2016/12/21,117.86,118.08,117.1,117.57,
2016/12/22,117.485,117.885,117.26,117.57,
2016/12/23,117.525,117.62,117.165,117.37,198
2016/12/26,117.225,117.39,116.99,117.135,115
2016/12/27,117.15,117.63,117.085,117.455,158
2016/12/28,117.425,117.825,117.06,117.235,1237
2016/12/29,117.035,117.17,116.22,116.575,156
2016/12/30,116.555,117.21,116.03,116.86,
2017/01/03,117.395,118.615,117.195,117.785,81
2017/01/04,117.68,118.2,117.04,117.28,172
2017/01/05,117.285,117.445,115.21,115.355,47
2017/01/06,115.45,117.185,115.05,117.03,
2017/01/09,117.075,117.545,115.955,116.08,47
2017/01/10,115.88,116.36,115.19,115.745,33
2017/01/11,115.845,116.88,114.23,115.4,108
2017/01/12,115.45,115.45,113.74,114.785,
2017/01/13,114.7,115.46,114.13,114.595,35
2017/01/16,114.465,114.5,113.615,114.175,32
2017/01/17,114.135,114.3,112.62,112.62,29
2017/01/18,112.745,114.775,112.635,114.665,88
2017/01/19,114.595,115.635,114.39,114.825,29
2017/01/20,115.085,115.4,114.2,114.515,31
2017/01/23,114.39,114.44,112.69,112.755,30
2017/01/24,112.63,113.905,112.52,113.795,29
2017/01/25,113.885,114.005,113.045,113.295,69
2017/01/26,113.35,114.875,113.045,114.615,27
2017/01/27,114.55,115.395,114.38,115.11,43
2017/01/30,114.9,114.965,113.45,113.8,26
2017/01/31,113.74,113.975,112.07,112.86,28
2017/02/01,112.74,113.965,112.635,113.185,80
2017/02/02,113.265,113.38,112.04,112.775,29
2017/02/03,112.865,113.55,112.3,112.68,33
2017/02/06,112.545,112.77,111.61,111.72,32
2017/02/07,111.82,112.59,111.575,112.405,32
2017/02/08,112.315,112.555,111.62,111.965,76
2017/02/09,111.85,113.365,111.81,113.215,30
