date, open, high, low, closing, swap
2012/03/26,82.45,83.01,82.44,82.89,3
2012/03/27,82.86,83.39,82.64,83.15,3
2012/03/28,83.21,83.21,82.61,82.9,15
2012/03/29,82.88,82.98,81.9,82.45,2
2012/03/30,82.42,82.87,81.83,82.77,3
2012/04/02,82.94,83.3,81.89,82.07,1
2012/04/03,82.07,83,81.55,82.77,2
2012/04/04,82.86,82.94,82.1,82.45,10
2012/04/05,82.44,82.48,81.82,82.35,3
2012/04/06,82.37,82.56,81.31,81.53,4
2012/04/09,81.44,81.67,81.19,81.49,3
2012/04/10,81.53,81.86,80.64,80.69,2
2012/04/11,80.73,81.12,80.56,80.86,13
2012/04/12,80.86,81.14,80.73,80.87,4
2012/04/13,80.88,81.2,80.84,81.03,2
2012/04/16,80.89,81,80.29,80.39,2
2012/04/17,80.42,80.93,80.34,80.86,2
2012/04/18,80.89,81.57,80.87,81.26,8
2012/04/19,81.27,81.73,81.17,81.62,2
2012/04/20,81.62,81.78,81.49,81.55,2
2012/04/23,81.6,81.67,80.97,81.19,3
2012/04/24,81.18,81.4,80.85,81.33,1
2012/04/25,81.33,81.7,81.07,81.35,12
2012/04/26,81.34,81.43,80.66,80.99,2
2012/04/27,80.99,81.45,80.35,80.37,
2012/04/30,80.35,80.39,79.73,79.83,21
2012/05/01,79.82,80.31,79.64,80.09,4
2012/05/02,80.09,80.62,80.05,80.15,
2012/05/03,80.13,80.56,80.1,80.19,
2012/05/04,80.2,80.4,79.8,79.85,3
2012/05/07,79.74,80.01,79.64,79.9,3
2012/05/08,79.9,80.09,79.71,79.87,2
2012/05/09,79.88,79.95,79.43,79.63,11
2012/05/10,79.65,80.03,79.6,79.95,3
2012/05/11,79.89,79.99,79.73,79.92,2
2012/05/14,79.92,80.19,79.68,79.88,2
2012/05/15,79.88,80.34,79.82,80.2,2
2012/05/16,80.21,80.56,80.19,80.32,5
2012/05/17,80.34,80.4,79.13,79.33,1
2012/05/18,79.33,79.47,79.01,79.08,2
2012/05/21,79.18,79.45,79.1,79.31,2
2012/05/22,79.33,80.15,79.27,79.96,1
2012/05/23,79.98,80.08,79.21,79.47,15
2012/05/24,79.47,79.64,79.35,79.57,
2012/05/25,79.6,79.83,79.5,79.67,1
2012/05/28,79.57,79.66,79.33,79.47,1
2012/05/29,79.47,79.64,79.36,79.51,2
2012/05/30,79.53,79.56,78.87,79.07,17
2012/05/31,79.13,79.14,78.22,78.32,5
2012/06/01,78.36,78.73,77.66,78.16,3
2012/06/04,78.19,78.47,77.98,78.34,4
2012/06/05,78.34,78.97,78.1,78.75,3
2012/06/06,78.76,79.28,78.61,79.2,11
2012/06/07,79.26,79.8,79.2,79.61,2
2012/06/08,79.66,79.76,79.11,79.37,4
2012/06/11,79.62,79.73,79.35,79.44,5
2012/06/12,79.39,79.7,79.16,79.54,4
2012/06/13,79.56,79.75,79.3,79.46,20
2012/06/14,79.45,79.47,79.16,79.35,6
2012/06/15,79.4,79.52,78.61,78.68,5
2012/06/18,79.03,79.3,78.86,79.1,5
2012/06/19,79.1,79.12,78.84,78.95,5
2012/06/20,78.97,79.71,78.79,79.5,18
2012/06/21,79.48,80.34,79.39,80.27,4
2012/06/22,80.22,80.57,80,80.42,5
2012/06/25,80.49,80.63,79.44,79.67,5
2012/06/26,79.64,79.79,79.23,79.52,9
2012/06/27,79.5,79.87,79.35,79.74,42
2012/06/28,79.7,79.77,79.22,79.45,7
2012/06/29,79.41,79.98,79.13,79.93,20
2012/07/02,79.92,79.99,79.31,79.51,
2012/07/03,79.51,79.93,79.41,79.81,7
2012/07/04,79.83,79.89,79.59,79.88,20
2012/07/05,79.86,80.1,79.56,79.92,5
2012/07/06,79.92,80.03,79.49,79.6,6
2012/07/09,79.7,79.77,79.42,79.57,6
2012/07/10,79.57,79.6,79.21,79.43,4
2012/07/11,79.4,79.8,79.14,79.76,24
2012/07/12,79.73,79.97,79.18,79.28,5
2012/07/13,79.29,79.4,79.06,79.25,
2012/07/16,79.22,79.23,78.69,78.87,3
2012/07/17,78.85,79.17,78.79,79.07,5
2012/07/18,79.08,79.15,78.76,78.79,15
2012/07/19,78.82,78.83,78.4,78.57,3
2012/07/20,78.61,78.81,78.45,78.48,3
2012/07/23,78.52,78.52,77.94,78.38,3
2012/07/24,78.32,78.38,78.09,78.14,3
2012/07/25,78.18,78.28,78.07,78.18,15
2012/07/26,78.17,78.31,77.98,78.2,3
2012/07/27,78.21,78.68,78.08,78.5,4
2012/07/30,78.51,78.55,78.12,78.18,4
2012/07/31,78.15,78.31,78.04,78.14,3
2012/08/01,78.13,78.51,77.89,78.44,14
2012/08/02,78.42,78.55,78.12,78.22,2
2012/08/03,78.25,78.78,78.07,78.59,2
2012/08/06,78.55,78.64,78.14,78.24,2
2012/08/07,78.26,78.74,78.15,78.6,1
2012/08/08,78.6,78.66,78.23,78.44,8
2012/08/09,78.43,78.8,78.28,78.58,-1
2012/08/10,78.59,78.65,78.16,78.28,1
2012/08/13,78.29,78.38,78.16,78.32,1
2012/08/14,78.34,78.93,78.32,78.73,1
2012/08/15,78.75,79.06,78.59,78.93,8
2012/08/16,78.94,79.41,78.94,79.37,1
2012/08/17,79.33,79.58,79.23,79.56,
2012/08/20,79.53,79.67,79.32,79.41,2
2012/08/21,79.48,79.53,79.22,79.27,2
2012/08/22,79.29,79.38,78.29,78.57,7
2012/08/23,78.6,78.7,78.36,78.49,1
2012/08/24,78.54,78.73,78.45,78.69,2
2012/08/27,78.65,78.85,78.63,78.74,1
2012/08/28,78.75,78.77,78.45,78.5,1
2012/08/29,78.55,78.79,78.48,78.7,15
2012/08/30,78.7,78.75,78.49,78.6,
2012/08/31,78.62,78.65,78.19,78.29,2
2012/09/03,78.33,78.4,78.19,78.26,1
2012/09/04,78.3,78.48,78.28,78.4,1
