date, open, high, low, closing, swap
2022/03/25,122.36,122.45,121.165,122.135,26
2022/03/28,122.19,125.105,122.13,123.91,24
2022/03/29,123.905,124.325,122,122.905,37
2022/03/30,122.905,123.2,121.3,121.85,65
2022/03/31,121.85,122.46,121.27,121.73,21
2022/04/01,121.7,123.045,121.68,122.57,21
2022/04/04,122.705,122.96,122.275,122.75,22
2022/04/05,122.78,123.67,122.38,123.585,20
2022/04/06,123.615,124.06,123.43,123.805,59
2022/04/07,123.82,124.015,123.48,123.98,23
2022/04/08,123.99,124.69,123.66,124.34,27
2022/04/11,124.37,125.785,124.29,125.405,23
2022/04/12,125.42,125.765,124.75,125.4,20
2022/04/13,125.41,126.315,125.335,125.68,54
2022/04/14,125.715,126.005,125.07,125.905,25
2022/04/15,125.885,126.7,125.885,126.395,30
2022/04/18,126.485,127.015,126.22,126.98,24
2022/04/19,126.985,128.98,126.975,128.88,22
2022/04/20,128.91,129.425,127.445,127.855,60
2022/04/21,127.96,128.715,127.8,128.35,23
2022/04/22,128.385,129.13,127.74,128.555,23
2022/04/25,128.77,128.87,127.535,128.115,25
2022/04/26,128.12,128.235,127.015,127.23,100
2022/04/27,127.225,128.6,126.92,128.46,124
2022/04/28,128.44,131.27,128.325,130.845,
2022/04/29,130.845,130.965,129.325,129.765,128
2022/05/02,130.075,130.49,129.6,130.17,
2022/05/03,130.235,130.3,129.7,130.13,
2022/05/04,130.115,130.4,128.625,129.145,
2022/05/05,129.215,130.565,128.745,130.155,47
2022/05/06,130.225,130.815,130.085,130.52,43
2022/05/09,130.75,131.36,130.095,130.315,41
2022/05/10,130.385,130.59,129.79,130.435,44
2022/05/11,130.415,130.815,129.44,130.02,117
2022/05/12,129.985,130.06,127.5,128.29,41
2022/05/13,128.395,129.47,128.34,129.34,42
2022/05/16,129.445,129.65,128.69,129.12,37
2022/05/17,129.09,129.8,128.825,129.33,38
2022/05/18,129.39,129.55,128,128.265,109
2022/05/19,128.315,128.955,127.015,127.81,38
2022/05/20,127.83,128.31,127.515,127.84,39
2022/05/23,127.975,128.075,127.145,127.875,39
2022/05/24,127.895,128.1,126.35,126.845,39
2022/05/25,126.86,127.505,126.64,127.285,157
2022/05/26,127.235,127.6,126.55,127.08,
2022/05/27,127.145,127.26,126.665,127.12,49
2022/05/30,127.155,127.835,126.855,127.585,43
2022/05/31,127.615,128.9,127.545,128.69,38
2022/06/01,128.68,130.2,128.635,130.14,113
2022/06/02,130.16,130.255,129.5,129.88,41
2022/06/03,129.89,131,129.67,130.87,43
2022/06/06,130.92,132.015,130.415,131.92,40
2022/06/07,131.925,133.01,131.88,132.655,39
2022/06/08,132.62,134.485,132.59,134.265,116
2022/06/09,134.26,134.565,133.185,134.39,41
2022/06/10,134.375,134.485,133.355,134.395,43
2022/06/13,134.615,135.23,133.58,134.42,42
2022/06/14,134.435,135.48,133.86,135.43,70
2022/06/15,135.505,135.605,133.49,133.835,303
2022/06/16,133.89,134.69,131.48,132.205,
2022/06/17,132.285,135.44,132.175,134.94,81
2022/06/20,135.205,135.46,134.515,135.08,82
2022/06/21,135.1,136.71,134.935,136.685,80
2022/06/22,136.69,136.73,135.685,136.23,225
2022/06/23,136.17,136.21,134.25,134.96,73
2022/06/24,134.975,135.405,134.34,135.225,75
2022/06/27,135.16,135.555,134.51,135.465,76
2022/06/28,135.47,136.4,135.095,136.15,127
2022/06/29,136.18,137.015,135.73,136.58,298
2022/06/30,136.545,136.82,135.54,135.77,
2022/07/01,135.765,136,134.75,135.295,81
2022/07/04,135.29,135.785,134.775,135.69,87
2022/07/05,135.66,136.365,135.535,135.89,71
2022/07/06,135.83,136.005,134.95,135.94,206
2022/07/07,135.915,136.23,135.55,136.02,69
2022/07/08,136.01,136.575,135.325,136.05,75
2022/07/11,136.145,137.765,136.105,137.425,70
2022/07/12,137.455,137.54,136.465,136.845,70
2022/07/13,136.85,137.875,136.68,137.45,271
2022/07/14,137.44,139.405,137.325,138.95,76
2022/07/15,138.965,139.145,138.38,138.525,
2022/07/18,138.525,138.555,137.88,138.15,71
2022/07/19,138.145,138.405,137.37,138.205,70
2022/07/20,138.155,138.385,137.89,138.27,202
2022/07/21,138.235,138.89,137.32,137.35,70
2022/07/22,137.39,137.96,135.55,136.015,75
2022/07/25,136.185,136.8,135.875,136.67,73
2022/07/26,136.68,136.965,136.285,136.965,100
2022/07/27,136.9,137.465,136.35,136.625,307
2022/07/28,136.6,136.61,134.19,134.245,100
2022/07/29,134.35,134.685,132.495,133.375,97
2022/08/01,133.32,133.58,131.59,131.635,93
2022/08/02,131.67,133.17,130.37,133.12,93
2022/08/03,133.19,134.555,132.28,133.895,277
2022/08/04,133.87,134.43,132.77,132.975,93
2022/08/05,132.99,135.515,132.5,135.03,96
2022/08/08,135.325,135.6,134.35,134.995,195
2022/08/09,134.975,135.215,134.675,135.135,282
2022/08/10,135.155,135.3,132.025,132.895,
2022/08/11,132.91,133.325,131.715,133,97
2022/08/12,133.03,133.9,132.875,133.45,95
2022/08/15,133.52,133.6,132.54,133.28,93
2022/08/16,133.305,134.7,132.945,134.275,93
2022/08/17,134.25,135.51,133.9,135.105,276
2022/08/18,135.13,135.915,134.635,135.9,97
2022/08/19,135.9,137.24,135.7,136.8,100
2022/08/22,136.9,137.665,136.685,137.54,97
2022/08/23,137.52,137.725,135.795,136.725,94
2022/08/24,136.72,137.24,136.16,137.135,286
2022/08/25,137.13,137.195,136.32,136.525,98
2022/08/26,136.515,137.5,136.165,137.47,101
2022/08/29,137.83,139.01,137.75,138.745,104
2022/08/30,138.7,139.085,138.04,138.79,100
2022/08/31,138.75,139.005,138.275,138.94,380
2022/09/01,139.065,140.245,139,140.22,
2022/09/02,140.23,140.815,139.875,140.225,101
2022/09/05,140.17,140.67,140.105,140.59,101
2022/09/06,140.6,143.095,140.24,142.77,104
2022/09/07,142.795,145.01,142.755,143.78,307
2022/09/08,143.77,144.555,143.315,144.1,105
2022/09/09,144.09,144.14,141.49,142.705,102
2022/09/12,142.49,143.505,142.165,142.85,102
2022/09/13,142.805,144.7,141.48,144.52,103
2022/09/14,144.685,144.975,142.555,143.165,400
2022/09/15,143.19,143.815,142.56,143.5,101
2022/09/16,143.505,143.7,142.835,142.915,
2022/09/19,143.075,143.66,142.63,143.22,103
2022/09/20,143.245,143.93,142.93,143.755,530
2022/09/21,143.705,144.755,143.34,144.025,141
2022/09/22,144.09,145.92,140.33,142.415,
2022/09/23,142.385,143.47,141.75,143.27,138
2022/09/26,143.46,144.8,143.26,144.715,133
2022/09/27,144.735,144.91,144.065,144.865,130
2022/09/28,144.815,144.88,143.895,144.14,421
2022/09/29,144.14,144.81,144.055,144.475,137
2022/09/30,144.505,144.87,144.2,144.73,140
2022/10/03,144.67,145.31,144.145,144.55,135
2022/10/04,144.65,144.95,143.88,144.15,136
2022/10/05,144.23,144.86,143.515,144.68,529
2022/10/06,144.65,145.155,144.38,145.115,132
2022/10/07,145.09,145.455,144.3,145.345,
2022/10/10,145.39,145.82,145.225,145.74,135
2022/10/11,145.735,145.91,145.415,145.87,135
2022/10/12,145.84,146.985,145.52,146.935,404
2022/10/13,146.91,147.69,146.395,147.205,136
2022/10/14,147.22,148.875,147.075,148.635,138
2022/10/17,148.61,149.105,148.415,149.01,138
2022/10/18,148.995,149.405,147.73,149.26,137
2022/10/19,149.23,149.92,149.11,149.92,409
2022/10/20,149.88,150.3,149.54,150.165,144
2022/10/21,150.115,151.955,146.06,147.65,142
2022/10/24,148.615,149.7,145.3,149.005,132
2022/10/25,149.075,149.115,147.5,147.905,132
2022/10/26,148.075,148.42,146.215,146.39,386
2022/10/27,146.395,146.945,145.1,146.275,137
2022/10/28,146.32,147.875,145.9,147.4,137
2022/10/31,147.65,148.86,147.54,148.735,294
2022/11/01,148.785,148.83,146.975,148.24,475
2022/11/02,148.27,148.4,145.66,147.955,
2022/11/03,147.775,148.465,147.1,148.255,167
2022/11/04,148.175,148.405,146.545,146.665,166
2022/11/07,147.02,147.57,146.035,146.65,165
2022/11/08,146.63,146.945,145.295,145.71,652
2022/11/09,145.7,146.8,145.17,146.415,
2022/11/10,146.475,146.605,140.175,140.995,168
2022/11/11,141.74,142.5,138.45,138.69,160
2022/11/14,139.535,140.815,138.8,139.915,157
2022/11/15,140.02,140.62,137.65,139.355,157
2022/11/16,139.335,140.3,138.725,139.515,459
2022/11/17,139.55,140.745,138.87,140.21,157
2022/11/18,140.225,140.51,139.63,140.375,459
2022/11/21,140.395,142.255,140.145,142.085,
2022/11/22,142.13,142.255,141.075,141.195,
2022/11/23,141.215,141.62,139.16,139.6,464
2022/11/24,139.605,139.61,138.05,138.645,158
2022/11/25,138.605,139.615,138.37,139.035,157
